"GO.ID"	"OG"	"Miscanthus_sinensis_total"	"Sorghum_bicolor_total"	"Zea_mays_total"	"Miscanthus_sinensis_sigDE"	"Sorghum_bicolor_sigDE"	"Zea_mays_sigDE"
"GO:0071555"	"N0.HOG0000995"	"8"	"4"	"4"	"0"	"0"	"1"
"GO:0071555"	"N0.HOG0001331"	"4"	"3"	"2"	"0"	"0"	"1"
"GO:0071555"	"N0.HOG0002025"	"7"	"4"	"4"	"0"	"0"	"1"
"GO:0071555"	"N0.HOG0002643"	"5"	"2"	"4"	"0"	"0"	"1"
"GO:0071555"	"N0.HOG0004017"	"4"	"2"	"3"	"0"	"0"	"2"
"GO:0071555"	"N0.HOG0004343"	"4"	"2"	"3"	"0"	"0"	"1"
"GO:0071555"	"N0.HOG0004368"	"4"	"2"	"2"	"0"	"0"	"1"
