"GO.ID"	"OG"	"Zea_mays_total"	"Zea_mays_sigDE"
"GO:0009938"	"N0.HOG0006225"	"3"	"2"
"GO:0009938"	"N0.HOG0005967"	"3"	"1"
"GO:0009938"	"N0.HOG0008285"	"2"	"1"
