"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0046961"	"proton-transporting ATPase activity, rotational mechanism"	"20"	"3"	"0.26"	"0.00198"
"GO:0003690"	"double-stranded DNA binding"	"488"	"8"	"6.23"	"0.05840"
"GO:0016757"	"glycosyltransferase activity"	"492"	"14"	"6.28"	"0.07031"
