TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0005634"	"nucleus"	4	6.822624306696733	16.5161752456724	1	0	null
"GO:0005737"	"cytoplasm"	3	7.238956814544198	43.076660800468886	1	0.18211679	null
