"GO.ID"	"OG"	"Zea_mays_total"	"Zea_mays_sigDE"
"GO:0070417"	"N0.HOG0006271"	"6"	"1"
"GO:0070417"	"N0.HOG0008853"	"2"	"1"
"GO:0070417"	"N0.HOG0005274"	"3"	"1"
"GO:0070417"	"N0.HOG0010839"	"2"	"1"
